area_sqft,bedroom_num,bathroom_num,balcony_num,property_type_code,facing_code,age_years,price_per_sqft,total_rooms,room_bath_ratio,price
1433.0113199999998,2.0,2.0,3.0,0.0,3.0,5.0,0.1500337066423174,4.0,1.0,215.0
1022.58,3.0,3.0,3.0,0.0,3.0,3.0,0.13690860372782568,6.0,1.0,140.0
1609.97148,3.0,3.0,2.0,0.0,3.0,5.0,0.07018757872654986,6.0,1.0,113.0
2360.007,4.0,5.0,3.0,1.0,3.0,5.0,0.07627096021325361,9.0,0.8,180.0
1600.0,3.0,3.0,3.0,0.0,5.0,3.0,0.1075,6.0,1.0,172.0
2500.0,3.0,4.0,3.0,0.0,2.0,3.0,0.192,7.0,0.75,480.0
1725.0,3.0,3.0,3.0,0.0,3.0,0.0,0.08695652173913043,6.0,1.0,150.0
3920.0,4.0,6.0,3.0,0.0,8.0,3.0,0.056122448979591844,10.0,0.6666666666666666,220.00000000000003
2236.0,3.0,3.0,3.0,0.0,5.0,7.5,0.1319320214669052,6.0,1.0,295.0
1929.9852,3.0,3.0,3.0,0.0,7.0,7.5,0.06735802948126234,6.0,1.0,130.0
513.981,2.0,2.0,2.0,0.0,3.0,1.0,0.07782388843167355,4.0,1.0,40.0
1829.88,6.0,6.0,3.0,1.0,7.0,15.0,0.2568474435482108,12.0,1.0,470.0
1640.00304,2.0,2.0,3.0,0.0,2.0,3.0,0.06402427156476491,4.0,1.0,105.0
1080.05976,3.0,2.0,3.0,1.0,3.0,5.0,0.09721684289024896,5.0,1.5,105.0
685.02096,3.0,2.0,2.0,0.0,3.0,5.0,0.05839237386254576,5.0,1.5,40.0
1274.9958,2.0,2.0,3.0,0.0,2.0,3.0,0.056078616102107945,4.0,1.0,71.5
1550.0159999999998,3.0,2.0,3.0,0.0,3.0,7.5,0.09999896775259096,5.0,1.5,155.0
2025.03132,3.0,3.0,3.0,0.0,1.0,3.0,0.04370302776354096,6.0,1.0,88.5
1950.00624,3.0,3.0,3.0,0.0,2.0,1.0,0.09743558564202338,6.0,1.0,190.0
644.97888,3.0,2.0,2.0,0.0,5.0,3.0,0.07907235660181618,5.0,1.5,51.0
1423.0007999999998,3.0,3.0,2.0,0.0,3.0,5.0,0.08784253670131459,6.0,1.0,125.0
1450.0,3.0,3.0,3.0,0.0,3.0,3.0,0.08275862068965517,6.0,1.0,120.0
1815.02568,3.0,3.0,1.0,0.0,2.0,1.0,0.05454468280581022,6.0,1.0,99.0
1102.98708,3.0,1.0,3.0,0.0,3.0,5.0,0.09972918268453335,4.0,3.0,110.0
11286.054,6.0,7.0,3.0,1.0,2.0,3.0,0.2436635514946145,13.0,0.8571428571428571,2750.0
1095.02172,2.0,2.0,2.0,0.0,3.0,5.0,0.047999047909296266,4.0,1.0,52.56
1432.0,2.0,2.0,1.0,0.0,2.0,3.0,0.15363128491620115,4.0,1.0,220.00000000000003
1900.0,3.0,3.0,3.0,0.0,2.0,7.5,0.08157894736842106,6.0,1.0,155.0
1900.0,3.0,3.0,3.0,0.0,6.0,3.0,0.09210526315789473,6.0,1.0,175.0
644.11776,2.0,2.0,2.0,0.0,3.0,3.0,0.05899542344555132,4.0,1.0,38.0
1409.97636,2.0,2.0,3.0,0.0,3.0,7.5,0.05319238118290153,4.0,1.0,75.0
